127.0.0.1 - - [11/Jul/2019:00:36:08 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:10 -0300] "GET /Sistema_Escolar_Gustavo/index.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:15 -0300] "GET /Sistema_Escolar_Gustavo/index.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:15 -0300] "GET /Sistema_Escolar_Gustavo/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:18 -0300] "POST /Sistema_Escolar_Gustavo/requisicoes/logar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:19 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 3805
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:21 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 3805
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:22 -0300] "GET /Sistema_Escolar_Gustavo/calendario.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:23 -0300] "GET /Sistema_Escolar_Gustavo/professores.jsp HTTP/1.1" 200 6134
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:24 -0300] "GET /Sistema_Escolar_Gustavo/dadosPessoais.jsp?nomeLogin=adm&senhaLogin=adm123 HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:36:26 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 3805
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/css/estilos.css HTTP/1.1" 200 5038
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner1.jpg HTTP/1.1" 200 64734
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner2.jpg HTTP/1.1" 200 3216062
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner3.jpg HTTP/1.1" 200 3230678
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/icone/css.png HTTP/1.1" 200 16357
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/icone/java.png HTTP/1.1" 200 7331
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/icone/photoshop.png HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:45 -0300] "GET /Sistema_Escolar_Gustavo/icone/after.png HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:39:46 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:40:21 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 4122
